Peak CCU,Price,Profit,Positive_Negative_dif,DLC,Achievements,days_since_release,Windows,Mac,Linux,clusters,Name
0,19.99,0.0,-5,0,30,5700,1,0,0,1,Galactic Bowling
0,0.99,0.0,48,0,12,2422,1,1,0,0,Train Bandit
0,4.99,0.0,0,0,0,925,1,0,0,1,Jolt Project
0,5.99,0.0,3,0,0,1407,1,1,1,0,Henosis™
0,0.0,0.0,42,0,17,1578,1,1,0,0,Two Weeks in Painland
68,0.0,0.0,38,0,0,1189,1,0,0,1,Wartune Reborn
3,10.99,32.97,14,1,62,872,1,0,0,1,TD Worlds
2,9.99,19.98,0,0,0,756,1,0,0,1,Legend of Rome - The Wrath of Mars
1,14.99,14.99,70,0,25,1519,1,0,0,1,MazM: Jekyll and Hyde
0,3.99,0.0,180,0,32,3488,1,1,1,0,Deadlings: Rotten Edition
5,23.99,119.94999999999999,377,0,34,1702,1,0,0,1,WARSAW
0,0.0,0.0,89,1,0,2890,1,1,0,0,Cthulhu Realms
0,1.99,0.0,5,0,25,1007,1,0,0,1,Clockwork Dungeon
0,2.99,0.0,25,0,19,2246,1,1,1,0,Royal Battleships
3,12.99,38.97,95,0,0,1282,1,0,0,1,Diary of Lucie
3,9.99,29.97,215,0,13,4943,1,0,0,1,Alien Breed 3: Descent
0,9.99,0.0,17,0,0,1301,1,0,0,1,Hunting Unlimited 3
5,7.99,39.95,1926,0,48,3387,1,1,1,0,Hero of the Kingdom II
4,9.59,38.36,0,2,0,1806,1,0,0,1,Super Naughty Maid 2
0,9.99,0.0,2,0,0,1406,1,0,0,1,KHIO
0,17.99,0.0,32,1,32,2863,1,1,1,0,Steam Squad
10,2.99,29.900000000000002,1,0,0,2680,1,0,0,1,Project: R.E.B.O.O.T 2
19,37.49,712.3100000000001,1082,23,0,2383,1,1,1,0,Aerofly FS 2 Flight Simulator
319,5.99,1910.8100000000002,335,0,0,684,1,0,0,1,Kanjozoku Game レーサー
0,9.99,0.0,15,0,4,1328,1,0,0,1,PowersVR
0,4.99,0.0,-32,0,43,2485,1,0,0,1,Draw Your Game
0,2.99,0.0,34,0,60,1199,1,1,0,0,Pathfinders: Memories
0,1.99,0.0,19,0,10,1412,1,0,0,1,Bright Days in Quarantine
19,13.99,265.81,0,1,73,1441,1,1,0,0,邻居大叔/UncleNeighbor:uncle Dating Simulator
0,11.99,0.0,5,0,22,2277,1,0,0,1,Dupio
0,0.99,0.0,7,0,0,995,1,0,0,1,Home Office Tasker
0,2.99,0.0,4,0,11,1896,1,0,0,1,Terror In The Atomic Desert
0,0.99,0.0,6,2,0,2687,1,1,1,0,Unhappy Ever After
1,0.99,0.99,92,0,29,5099,1,0,0,1,DogFighter
0,1.99,0.0,1,0,0,1429,1,0,0,1,March Of Soldiers
0,1.99,0.0,5,0,0,1815,1,1,1,0,Bepuzzled Kittens Jigsaw Puzzle
0,7.99,0.0,8,0,0,1639,1,0,0,1,Dream Detective
0,1.99,0.0,27,0,0,1597,1,0,0,1,Tower of Shades
1,2.49,2.49,1173,7,0,3741,1,1,1,0,Vanguard Princess
2,11.99,23.98,129,0,0,933,1,0,0,1,IRON REBELLION
0,0.99,0.0,-36,0,0,2185,1,0,0,1,Treasures of the Ancients: Egypt
4,19.99,79.96,1088,0,50,3849,1,0,1,0,Deadfall Adventures
0,14.99,0.0,0,2,0,1850,1,1,1,0,Who We Are Now
2,3.99,7.98,495,0,10,2051,1,1,1,0,Reigns: Game of Thrones
19,0.0,0.0,54,0,211,2326,1,1,0,0,CasinoRPG
0,1.99,0.0,0,0,0,958,1,0,0,1,Fuyu no Tsuma
2164,59.99,129818.36,75334,5,0,2257,1,0,0,1,Far Cry® 5
0,0.55,0.0,-1,0,0,2429,1,0,0,1,Loot Collection: Mahjong
0,14.99,0.0,14,0,34,2821,1,0,0,1,INFERNO CLIMBER
